"Individual","Population","MotherID","FatherID","Ploidy"
"W9914-1R",0,"0","0",4
"W6511-1R",0,"0","0",4
"VillettaRose",0,"0","0",4
"W15268-4R",1,"W6511-1R","VillettaRose",4
"W15268-5R",1,"W6511-1R","VillettaRose",4
"W15268-6R",1,"W6511-1R","VillettaRose",4
"W15268-7R",1,"W6511-1R","VillettaRose",4
"W15268-8R",1,"W6511-1R","VillettaRose",4
"W15268-9R",1,"W6511-1R","VillettaRose",4
"W15268-12R",1,"W6511-1R","VillettaRose",4
"W15268-13R",1,"W6511-1R","VillettaRose",4
"W15268-16R",1,"W6511-1R","VillettaRose",4
"W15268-17R",1,"W6511-1R","VillettaRose",4
"W15268-18R",1,"W6511-1R","VillettaRose",4
"W15268-19R",1,"W6511-1R","VillettaRose",4
"W15268-20R",1,"W6511-1R","VillettaRose",4
"W15268-21R",1,"W6511-1R","VillettaRose",4
"W15268-24R",1,"W6511-1R","VillettaRose",4
"W15268-26R",1,"W6511-1R","VillettaRose",4
"W15268-27R",1,"W6511-1R","VillettaRose",4
"W15268-28R",1,"W6511-1R","VillettaRose",4
"W15268-29R",1,"W6511-1R","VillettaRose",4
"W15268-30R",1,"W6511-1R","VillettaRose",4
"W15268-31R",1,"W6511-1R","VillettaRose",4
"W15268-32R",1,"W6511-1R","VillettaRose",4
"W15268-33R",1,"W6511-1R","VillettaRose",4
"W15268-34R",1,"W6511-1R","VillettaRose",4
"W15268-36R",1,"W6511-1R","VillettaRose",4
"W15268-41R",1,"W6511-1R","VillettaRose",4
"W15268-42R",1,"W6511-1R","VillettaRose",4
"W15268-47R",1,"W6511-1R","VillettaRose",4
"W15268-48R",1,"W6511-1R","VillettaRose",4
"W15268-49R",1,"W6511-1R","VillettaRose",4
"W15268-51R",1,"W6511-1R","VillettaRose",4
"W15268-53R",1,"W6511-1R","VillettaRose",4
"W15268-56R",1,"W6511-1R","VillettaRose",4
"W15268-57R",1,"W6511-1R","VillettaRose",4
"W15268-61R",1,"W6511-1R","VillettaRose",4
"W15268-63R",1,"W6511-1R","VillettaRose",4
"W15268-65R",1,"W6511-1R","VillettaRose",4
"W15268-68R",1,"W6511-1R","VillettaRose",4
"W15268-73R",1,"W6511-1R","VillettaRose",4
"W15268-74R",1,"W6511-1R","VillettaRose",4
"W15268-76R",1,"W6511-1R","VillettaRose",4
"W15268-78R",1,"W6511-1R","VillettaRose",4
"W15268-79R",1,"W6511-1R","VillettaRose",4
"W15268-80R",1,"W6511-1R","VillettaRose",4
"W15268-82R",1,"W6511-1R","VillettaRose",4
"W15268-83R",1,"W6511-1R","VillettaRose",4
"W15268-85R",1,"W6511-1R","VillettaRose",4
"W15268-87R",1,"W6511-1R","VillettaRose",4
"W15268-88R",1,"W6511-1R","VillettaRose",4
"W15268-89R",1,"W6511-1R","VillettaRose",4
"W15268-90R",1,"W6511-1R","VillettaRose",4
"W15268-91R",1,"W6511-1R","VillettaRose",4
"W15268-93R",1,"W6511-1R","VillettaRose",4
"W15268-95R",1,"W6511-1R","VillettaRose",4
"W15268-96R",1,"W6511-1R","VillettaRose",4
"W15268-97R",1,"W6511-1R","VillettaRose",4
"W15268-99R",1,"W6511-1R","VillettaRose",4
"W15268-101R",1,"W6511-1R","VillettaRose",4
"W15268-102R",1,"W6511-1R","VillettaRose",4
"W15268-103R",1,"W6511-1R","VillettaRose",4
"W15268-104R",1,"W6511-1R","VillettaRose",4
"W15268-106R",1,"W6511-1R","VillettaRose",4
"W15268-107R",1,"W6511-1R","VillettaRose",4
"W15268-108R",1,"W6511-1R","VillettaRose",4
"W15268-109R",1,"W6511-1R","VillettaRose",4
"W15268-110R",1,"W6511-1R","VillettaRose",4
"W15268-111R",1,"W6511-1R","VillettaRose",4
"W15268-112R",1,"W6511-1R","VillettaRose",4
"W15268-114R",1,"W6511-1R","VillettaRose",4
"W15268-115R",1,"W6511-1R","VillettaRose",4
"W15268-116R",1,"W6511-1R","VillettaRose",4
"W15268-117R",1,"W6511-1R","VillettaRose",4
"W15268-118R",1,"W6511-1R","VillettaRose",4
"W15268-119R",1,"W6511-1R","VillettaRose",4
"W15268-121R",1,"W6511-1R","VillettaRose",4
"W15268-122R",1,"W6511-1R","VillettaRose",4
"W15268-123R",1,"W6511-1R","VillettaRose",4
"W15268-124R",1,"W6511-1R","VillettaRose",4
"W15268-125R",1,"W6511-1R","VillettaRose",4
"W15268-127R",1,"W6511-1R","VillettaRose",4
"W15268-129R",1,"W6511-1R","VillettaRose",4
"W15268-130R",1,"W6511-1R","VillettaRose",4
"W15268-134R",1,"W6511-1R","VillettaRose",4
