id,vine.maturity
W15263-10R,7.214876104
W15263-11R,2.214876104
W15263-12R,5.503943531
W15263-16R,5.214876104
W15263-18R,2.214876104
W15263-19R,8.086715698
W15263-1R,1.905397241
W15263-25R,1.905397241
W15263-29R,4.086715698
W15263-2R,5.905397241
W15263-31R,4.086715698
W15263-34R,1.793010957
W15263-36R,5.214876104
W15263-38R,4.793010957
W15263-39R,0.905397241
W15263-41R,3.214876104
W15263-42R,4.632503393
W15263-45R,6.086715698
W15263-46R,8.793010957
W15263-50R,6.214876104
W15263-55R,5.793010957
W15263-56R,7.905397241
W15263-5R,6.905397241
W15263-60R,3.793010957
W15263-63R,3.214876104
W15263-64R,7.793010957
W15263-65R,3.086715698
W15263-70R,5.214876104
W15263-71R,1.214876104
W15263-75R,3.793010957
W15263-76R,3.086715698
W15263-78R,4.793010957
W15263-7R,6.586715698
W15263-80R,8.214876104
W15263-81R,3.793010957
W15263-82R,3.086715698
W15263-84R,5.086715698
W15263-85R,7.905397241
W15263-86R,7.905397241
W15263-87R,3.793010957
W15263-8R,3.793010957
W15267-100R,8.214876104
W15267-101R,3.905397241
W15267-102R,6.214876104
W15267-104R,5.793010957
W15267-105R,8.793010957
W15267-10R,6.905397241
W15267-110R,5.793010957
W15267-111R,4.214876104
W15267-113R,8.793010957
W15267-114R,4.086715698
W15267-115R,2.214876104
W15267-116R,5.793010957
W15267-117R,9.214876104
W15267-11R,8.793010957
W15267-121R,7.214876104
W15267-122R,3.793010957
W15267-126R,6.905397241
W15267-127R,5.793010957
W15267-129R,0.905397241
W15267-12R,1.214876104
W15267-131R,8.214876104
W15267-132R,6.214876104
W15267-133R,3.793010957
W15267-136R,6.793010957
W15267-137R,1.793010957
W15267-139R,6.905397241
W15267-13R,5.086715698
W15267-140R,9.086715698
W15267-142R,5.793010957
W15267-143R,9.214876104
W15267-145R,2.793010957
W15267-146R,9.214876104
W15267-147R,4.086715698
W15267-148R,5.086715698
W15267-149R,5.793010957
W15267-150R,5.214876104
W15267-153R,8.086715698
W15267-154R,2.793010957
W15267-157R,3.905397241
W15267-159R,4.793010957
W15267-160R,4.214876104
W15267-161R,5.214876104
W15267-162R,3.086715698
W15267-163R,3.793010957
W15267-164R,7.214876104
W15267-165R,2.214876104
W15267-16R,4.086715698
W15267-170R,7.905397241
W15267-171R,2.086715698
W15267-172R,5.793010957
W15267-173R,3.905397241
W15267-174R,8.793010957
W15267-176R,5.793010957
W15267-177R,3.086715698
W15267-17R,1.793010957
W15267-180R,4.650795901
W15267-182R,2.793010957
W15267-186R,2.086715698
W15267-187R,9.214876104
W15267-189R,3.905397241
W15267-190R,5.905397241
W15267-192R,5.905397241
W15267-193R,8.086715698
W15267-195R,5.086715698
W15267-196R,3.086715698
W15267-197R,7.793010957
W15267-199R,8.905397241
W15267-19R,8.214876104
W15267-200R,4.214876104
W15267-201R,9.086715698
W15267-202R,7.793010957
W15267-204R,8.214876104
W15267-205R,5.086715698
W15267-209R,3.905397241
W15267-212R,4.214876104
W15267-213R,2.905397241
W15267-214R,0.905397241
W15267-216R,4.086715698
W15267-217R,3.086715698
W15267-218R,4.793010957
W15267-21R,9.086715698
W15267-220R,3.793010957
W15267-222R,4.905397241
W15267-224R,5.793010957
W15267-226R,5.086715698
W15267-227R,4.905397241
W15267-22R,6.793010957
W15267-24R,6.086715698
W15267-26R,5.086715698
W15267-2R,7.793010957
W15267-30R,8.905397241
W15267-31R,4.086715698
W15267-32R,8.214876104
W15267-34R,7.439863327
W15267-35R,4.793010957
W15267-37R,8.214876104
W15267-3R,8.905397241
W15267-40R,2.905397241
W15267-41R,2.905397241
W15267-43R,9.086715698
W15267-45R,7.214876104
W15267-46R,8.214876104
W15267-48R,7.793010957
W15267-50R,6.905397241
W15267-51R,4.086715698
W15267-53R,7.214876104
W15267-55R,4.793010957
W15267-56R,3.086715698
W15267-57R,4.086715698
W15267-59R,3.793010957
W15267-60R,6.214876104
W15267-61R,6.793010957
W15267-62R,4.905397241
W15267-63R,3.793010957
W15267-65R,5.905397241
W15267-66R,7.214876104
W15267-67R,3.086715698
W15267-6R,2.214876104
W15267-70R,3.793010957
W15267-71R,5.905397241
W15267-72R,4.214876104
W15267-73R,7.086715698
W15267-74R,4.086715698
W15267-75R,5.905397241
W15267-77R,4.086715698
W15267-79R,3.214876104
W15267-7R,1.214876104
W15267-81R,3.086715698
W15267-82R,4.793010957
W15267-84R,7.086715698
W15267-85R,2.793010957
W15267-86R,9.214876104
W15267-87R,7.905397241
W15267-88R,4.793010957
W15267-89R,7.405397241
W15267-90R,0.793010957
W15267-92R,4.214876104
W15267-93R,5.214876104
W15267-95R,5.793010957
W15267-97R,3.214876104
